Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,leader_Vehicle_ID,leader_Frame_ID,leader_Total_Frames,leader_Global_Time,leader_Local_X,leader_Local_Y,leader_Global_X,leader_Global_Y,leader_v_length,leader_v_Width,leader_v_Class,leader_v_Vel,leader_v_Acc,leader_Lane_ID,leader_O_Zone,leader_D_Zone,leader_Int_ID,leader_Section_ID,leader_Direction,leader_Movement,leader_Preceding,leader_Following,leader_Space_Headway,leader_Time_Headway,leader_Location
2780,8340,828,1118847812900,17.385,858.349,6451735.818,1872777.898,10.0,5.0,2,0.0,0.0,2,,,,,,,2768,2792,24.0,9999.99,us-101,2768,8414,827,1118847820300,16.975,897.784,6451765.726,1872752.135,13.0,4.9,2,9.47,6.27,2,,,,,,,2761,2780,50.9,5.37,us-101
1794,8975,750,1118849654500,18.085,1782.469,6452405.075,1872191.749,14.5,5.9,2,34.48,-11.2,2,,,,,,,1789,1798,88.43,2.56,us-101,1789,8584,816,1118849615400,19.267,464.106,6451413.812,1873061.96,13.5,5.9,2,15.0,0.0,2,,,,,,,1779,1794,38.53,2.57,us-101
1323,5310,538,1118848373000,16.418,219.405,6451235.33,1873238.813,12.5,6.0,2,31.25,0.0,2,,,,,,,1312,1331,41.03,1.31,us-101,1312,5302,535,1118848372200,15.515,234.843,6451246.657,1873228.284,14.5,5.9,2,32.0,0.0,2,,,,,,,1306,1323,41.2,1.29,us-101
141,677,469,1118847046600,19.364,1599.056,6452292.515,1872289.035,16.0,7.4,2,55.0,-0.32,2,,,,,,,136,146,87.31,1.59,us-101,136,567,449,1118847035600,20.412,1137.178,6451944.068,1872592.273,14.0,6.9,2,45.0,0.0,2,,,,,,,127,141,87.04,1.93,us-101
73,1060,519,1118847948000,18.751,1853.192,6452453.921,1872148.756,16.0,5.9,2,63.32,-11.2,2,,,,,,,67,78,147.86,2.34,us-101,67,748,524,1118847916800,23.046,550.691,6451471.315,1873004.18,13.0,6.4,2,30.98,-5.8,2,,,,,,,61,76,49.87,1.61,us-101
1354,7142,1016,1118849471200,17.067,1419.135,6452132.41,1872432.137,14.5,6.9,2,30.0,0.0,2,,,,,,,1350,1360,60.94,2.03,us-101,1350,7000,1020,1118849457000,19.375,1253.54,6452006.096,1872539.398,15.0,6.9,2,0.0,0.0,2,,,,,,,1341,1354,45.2,9999.99,us-101
2561,9253,614,1118848767300,18.05,496.133,6451434.138,1873044.883,15.0,5.4,2,15.0,0.0,2,,,,,,,2556,2574,47.19,3.15,us-101,2556,9239,625,1118848765900,19.342,520.973,6451451.529,1873027.099,15.5,6.4,2,17.1,0.0,2,,,,,,,2549,2561,40.58,2.37,us-101
2138,6080,553,1118847586900,14.999,165.316,6451226.729,1873249.898,14.5,6.4,2,29.64,-9.92,2,,,,,,,2132,2148,33.64,1.13,us-101,2132,6054,546,1118847584300,16.565,120.133,6451194.758,1873281.968,13.5,5.9,2,29.48,5.89,2,,,,,,,2127,2138,122.58,4.16,us-101
2581,8165,933,1118847795400,18.102,1918.659,6452534.459,1872079.931,12.5,5.0,2,22.0,-6.48,2,,,,,,,2578,2582,42.51,1.93,us-101,2578,7915,927,1118847770400,20.141,1639.073,6452322.257,1872262.225,17.0,4.9,2,4.62,-4.21,2,,,,,,,2571,2581,32.31,6.99,us-101
431,2055,955,1118848047500,18.686,468.964,6451413.728,1873062.827,12.5,6.0,2,34.25,0.0,2,,,,,,,426,435,61.03,1.78,us-101,426,2326,938,1118848074600,17.38,1157.458,6451930.983,1872607.692,13.5,5.9,2,30.0,0.0,2,,,,,,,420,431,74.05,2.47,us-101
2031,7391,981,1118848581100,16.932,344.006,6451323.517,1873149.888,15.5,6.4,2,15.46,-8.93,2,,,,,,,2025,2042,57.18,3.7,us-101,2025,7798,987,1118848621800,17.839,885.09,6451725.387,1872786.469,17.0,8.5,2,15.0,0.0,2,,,,,,,2020,2031,34.5,2.3,us-101
2169,6359,571,1118847614800,19.326,623.696,6451558.209,1872931.46,14.0,5.9,2,34.9,-1.54,2,,,,,,,2160,2174,153.8,4.41,us-101,2160,6218,570,1118847600700,19.651,334.781,6451343.946,1873126.362,12.5,6.0,2,25.0,0.0,2,,,,,,,2146,2169,34.13,1.37,us-101
2365,7252,340,1118847704100,20.556,2025.821,6452615.512,1872009.207,13.5,6.4,2,50.0,0.0,2,,,,,,,2362,2363,57.28,1.15,us-101,2362,7242,340,1118847703100,20.373,2038.157,6452625.203,1872001.543,13.5,5.4,2,47.36,-11.2,2,,,,,,,2356,2365,68.47,1.45,us-101
603,3424,798,1118849099400,18.386,1669.822,6452320.36,1872266.192,16.0,6.4,2,10.01,0.33,2,,,,,,,599,608,32.33,3.23,us-101,599,3131,803,1118849070100,20.544,730.755,6451611.813,1872882.664,17.5,7.4,2,34.47,6.28,2,,,,,,,596,603,62.28,1.81,us-101
2861,8759,830,1118847854800,17.734,1062.409,6451889.425,1872643.426,14.0,5.9,2,39.9,11.2,2,,,,,,,2855,2870,83.6,2.1,us-101,2855,8862,829,1118847865100,20.103,1607.088,6452298.092,1872283.223,16.0,5.9,2,50.81,5.26,2,,,,,,,2850,2861,54.76,1.08,us-101
2605,9326,640,1118848774600,18.758,331.522,6451313.269,1873157.253,15.5,5.4,2,13.35,-1.81,2,,,,,,,2597,2613,59.06,4.42,us-101,2597,8012,960,1118847780100,17.457,1543.461,6452251.683,1872326.992,13.5,5.9,2,5.0,-0.02,2,,,,,,,2593,2608,39.41,7.88,us-101
2282,8720,640,1118848714000,16.299,1618.092,6452278.484,1872305.253,14.5,5.4,2,21.83,-5.95,2,,,,,,,2280,2285,53.73,2.46,us-101,2280,6904,518,1118847669300,18.366,1274.839,6452048.96,1872503.181,12.5,6.5,2,41.03,5.09,2,,,,,,,2270,2290,104.55,2.55,us-101
1341,6934,1040,1118849450400,18.656,1294.496,6452037.402,1872512.923,13.0,6.4,2,6.0,0.0,2,,,,,,,1336,1346,21.24,3.54,us-101,1336,7194,1052,1118849476400,17.468,1800.256,6452418.92,1872180.661,13.0,7.4,2,35.0,0.0,2,,,,,,,1334,1341,36.43,1.04,us-101
1064,5608,869,1118849317800,17.755,1554.765,6452233.841,1872342.288,14.5,6.4,2,0.0,0.0,2,,,,,,,1059,1070,35.33,9999.99,us-101,1059,5405,870,1118849297500,18.349,1353.631,6452082.152,1872474.168,16.0,6.9,2,15.0,0.0,2,,,,,,,1056,1064,58.5,3.9,us-101
1056,5721,864,1118849329100,19.949,1947.41,6452528.697,1872082.397,14.5,5.9,2,43.32,-6.22,2,,,,,,,1052,1059,56.03,1.29,us-101,1052,5504,847,1118849307400,18.923,1607.906,6452273.224,1872306.34,15.0,5.9,2,9.89,0.0,2,,,,,,,1046,1056,44.94,4.54,us-101
260,1707,495,1118848012700,19.552,1536.238,6452214.634,1872356.786,17.0,7.9,2,45.0,0.0,2,,,,,,,255,263,65.06,1.45,us-101,255,1406,502,1118847982600,13.538,235.172,6451248.312,1873229.413,14.5,6.4,2,32.88,0.0,2,,,,,,,250,260,44.76,1.36,us-101
1232,5987,1179,1118849355700,20.431,636.112,6451540.823,1872945.526,17.0,6.4,2,18.73,4.16,2,,,,,,,1228,1236,53.25,2.84,us-101,1228,5954,1183,1118849352400,19.281,636.107,6451541.603,1872946.372,14.0,6.9,2,15.54,4.3,2,,,,,,,1222,1232,103.17,6.64,us-101
969,5140,832,1118849271000,20.166,1914.14,6452503.066,1872104.058,15.5,6.9,2,20.54,-0.28,2,,,,,,,960,973,50.92,2.48,us-101,960,4547,813,1118849211700,16.6,209.696,6451232.289,1873241.728,15.0,6.4,2,20.96,4.14,2,,,,,,,952,969,56.98,2.72,us-101
2916,8613,809,1118847840200,19.481,379.849,6451377.248,1873095.366,12.5,6.0,2,0.0,0.0,2,,,,,,,2911,2925,22.15,9999.99,us-101,2911,8591,810,1118847838000,19.347,402.0,6451393.536,1873080.537,17.0,6.4,2,0.0,0.0,2,,,,,,,2903,2916,25.82,9999.99,us-101
386,1867,948,1118848943700,18.81,417.917,6451380.171,1873093.584,15.5,6.9,2,9.05,-7.34,2,,,,,,,379,390,45.51,5.03,us-101,379,1756,936,1118848932600,17.827,279.111,6451280.185,1873190.524,15.0,6.9,2,10.31,0.0,2,,,,,,,373,386,58.35,5.66,us-101
567,3372,987,1118848179200,20.598,1929.266,6452510.098,1872097.358,14.0,7.4,2,22.43,-2.11,2,,,,,,,556,585,44.39,1.98,us-101,556,3043,959,1118848146300,19.81,1112.253,6451895.318,1872635.539,12.0,5.0,2,28.31,3.74,2,,,,,,,546,567,114.76,4.05,us-101
1312,5302,535,1118848372200,15.515,234.843,6451246.657,1873228.284,14.5,5.9,2,32.0,0.0,2,,,,,,,1306,1323,41.2,1.29,us-101,1306,6211,1153,1118849378100,16.017,259.297,6451266.998,1873206.302,15.0,6.9,2,16.35,10.92,2,,,,,,,1302,1309,51.09,3.12,us-101
232,1522,513,1118847994200,20.299,1102.951,6451887.967,1872641.294,16.0,7.9,2,50.0,0.0,2,,,,,,,224,236,101.04,2.02,us-101,224,1302,524,1118847972200,18.026,276.266,6451273.791,1873196.427,13.0,6.9,2,29.95,11.2,2,,,,,,,222,232,40.0,1.34,us-101
1934,5935,584,1118847572400,16.171,1435.462,6452171.432,1872399.284,13.5,5.9,2,45.04,-0.74,2,,,,,,,1930,1942,126.73,2.81,us-101,1930,5977,575,1118847576600,15.922,1756.504,6452413.114,1872187.691,11.5,4.5,2,45.0,0.0,2,,,,,,,1924,1934,102.45,2.28,us-101
1863,7424,988,1118848584400,19.052,1471.775,6452166.562,1872399.731,14.0,6.9,2,17.43,-2.5,2,,,,,,,1823,1829,37.52,2.15,us-101,1823,6934,989,1118848535400,17.866,845.235,6451695.446,1872812.771,15.0,5.4,2,21.08,-0.46,2,,,,,,,1817,1829,48.35,2.29,us-101
1703,5246,557,1118847503500,19.422,1714.375,6452378.719,1872212.907,12.0,6.5,2,59.3,-6.32,2,,,,,,,1698,1709,64.11,1.08,us-101,1698,5178,563,1118847496700,17.602,1395.364,6452140.356,1872424.513,11.5,7.0,2,49.97,-0.07,2,,,,,,,1695,1703,68.94,1.38,us-101
1172,5770,1141,1118849334000,18.051,844.485,6451698.89,1872809.496,15.0,6.4,2,28.12,1.28,2,,,,,,,1168,1177,73.59,2.62,us-101,1168,6080,1123,1118849365000,18.206,1279.612,6452026.502,1872523.072,16.0,6.9,2,37.8,3.81,2,,,,,,,1160,1172,146.49,3.88,us-101
625,2688,963,1118848110800,18.191,407.108,6451368.58,1873105.108,13.0,5.4,2,24.99,0.52,2,,,,,,,618,629,42.65,1.71,us-101,618,3183,971,1118848160300,17.88,1156.106,6451929.637,1872608.202,15.5,5.9,2,36.3,4.27,2,,,,,,,610,625,47.89,1.32,us-101
1452,5835,649,1118848425500,19.702,672.413,6451564.302,1872925.507,16.0,5.4,2,39.5,-1.14,2,,,,,,,1451,1471,56.87,1.44,us-101,1451,5937,635,1118848435700,18.576,1122.142,6451903.566,1872629.99,13.5,4.4,2,33.39,-1.91,2,,,,,,,1443,1452,60.69,1.82,us-101
1616,7907,674,1118849547700,20.564,580.893,6451499.547,1872982.262,13.5,6.9,2,29.53,1.04,2,,,,,,,1613,1619,47.58,1.61,us-101,1613,7910,687,1118849548000,20.906,637.473,6451541.518,1872944.268,15.5,6.4,2,30.0,0.0,2,,,,,,,1611,1616,75.64,2.52,us-101
1583,6389,911,1118848480900,19.29,1301.613,6452038.2,1872511.38,12.0,6.0,2,46.25,-6.56,2,,,,,,,1579,1592,70.52,1.52,us-101,1579,6788,905,1118848520800,19.819,2066.632,6452616.382,1872009.449,15.0,5.9,2,19.18,5.16,2,,,,,,,1570,1583,56.26,2.93,us-101
2062,7756,1024,1118848617600,16.66,548.086,6451473.604,1873010.7,14.0,4.9,2,18.77,2.65,2,,,,,,,2054,2070,50.86,2.71,us-101,2054,7327,1023,1118848574700,17.809,138.228,6451178.742,1873297.358,15.0,6.4,2,9.19,0.0,2,,,,,,,2042,2062,38.24,4.16,us-101
589,1709,441,1118847149800,16.956,1238.098,6452022.202,1872528.501,16.0,6.4,2,58.37,11.2,2,,,,,,,585,596,69.83,1.2,us-101,585,2673,974,1118848109300,19.99,591.817,6451503.99,1872979.059,14.5,5.4,2,24.42,5.58,2,,,,,,,567,592,47.67,1.95,us-101
