Y,X1,X2,X3
0.0,0.0,9.47,24.0
-11.2,34.48,-19.479999999999997,88.43
0.0,31.25,0.75,41.03
-0.32,55.0,-10.0,87.31
-11.2,63.32,-32.34,147.86
0.0,30.0,-30.0,60.94
0.0,15.0,2.1000000000000014,47.19
-9.92,29.64,-0.16000000000000014,33.64
-6.48,22.0,-17.38,42.51
0.0,34.25,-4.25,61.03
-8.93,15.46,-0.46000000000000085,57.18
-1.54,34.9,-9.899999999999999,153.8
0.0,50.0,-2.6400000000000006,57.28
0.33,10.01,24.46,32.33
11.2,39.9,10.910000000000004,83.6
-1.81,13.35,-8.35,59.06
-5.95,21.83,19.200000000000003,53.73
0.0,6.0,29.0,21.24
0.0,0.0,15.0,35.33
-6.22,43.32,-33.43,56.03
0.0,45.0,-12.119999999999997,65.06
4.16,18.73,-3.1900000000000013,53.25
-0.28,20.54,0.4200000000000017,50.92
0.0,0.0,0.0,22.15
-7.34,9.05,1.2599999999999998,45.51
-2.11,22.43,5.879999999999999,44.39
0.0,32.0,-15.649999999999999,41.2
0.0,50.0,-20.05,101.04
-0.74,45.04,-0.03999999999999915,126.73
-2.5,17.43,3.6499999999999986,37.52
-6.32,59.3,-9.329999999999998,64.11
1.28,28.12,9.679999999999996,73.59
0.52,24.99,11.309999999999999,42.65
-1.14,39.5,-6.109999999999999,56.87
1.04,29.53,0.46999999999999886,47.58
-6.56,46.25,-27.07,70.52
2.65,18.77,-9.58,50.86
11.2,58.37,-33.949999999999996,69.83
0.0,30.0,-5.0,75.64
4.45,26.72,8.280000000000001,59.75
-2.02,9.9,16.5,36.02
-3.56,33.31,-2.120000000000001,49.36
0.54,49.63,-16.620000000000005,98.52
-0.96,12.4,15.51,40.99
-3.92,19.76,11.549999999999997,48.57
11.2,21.85,-1.5300000000000011,65.59
2.05,15.1,0.4399999999999995,52.82
4.48,35.39,-7.699999999999999,44.47
0.38,40.0,-11.879999999999999,111.93
-2.65,35.29,-27.619999999999997,81.44
8.85,1.57,19.509999999999998,28.84
0.0,15.0,31.47,52.11
-0.24,25.01,-25.01,95.33
-1.71,29.93,15.04,48.98
0.0,0.0,25.0,31.95
4.65,15.6,27.509999999999998,33.3
-5.01,41.81,-18.340000000000003,54.89
-10.7,23.64,6.859999999999999,46.63
0.0,23.24,6.550000000000001,39.4
7.02,28.0,-7.68,52.22
-5.88,38.52,12.669999999999995,57.73
5.89,29.48,8.040000000000003,122.58
-0.07,49.97,-13.170000000000002,68.94
5.69,34.36,-2.5,50.5
1.94,35.9,1.6700000000000017,45.5
-4.52,20.13,-11.379999999999999,35.52
7.89,21.21,-6.210000000000001,64.56
0.13,29.99,20.000000000000004,60.43
0.0,20.77,-8.29,92.67
6.72,37.41,-14.009999999999998,63.19
0.0,19.99,-19.99,58.01
4.13,38.24,-38.24,137.89
0.0,9.83,24.880000000000003,45.89
0.0,45.0,-15.21,68.94
-3.38,37.9,-17.52,44.83
0.0,1.0,14.54,27.15
-1.02,25.92,-10.920000000000002,70.83
0.0,34.99,10.049999999999997,44.05
2.69,8.3,41.790000000000006,40.34
-0.05,28.51,6.489999999999998,74.71
0.0,20.0,4.07,43.11
0.06,40.03,-1.2700000000000031,59.0
-0.14,17.24,29.210000000000004,26.78
0.0,0.0,15.03,25.94
8.44,12.5,-3.75,61.18
6.69,47.43,-8.670000000000002,60.59
0.0,0.0,34.36,28.5
-4.33,1.13,14.25,21.07
0.0,25.0,8.18,39.59
11.2,23.69,14.379999999999999,52.58
0.0,10.0,-10.0,45.09
3.51,31.13,-6.149999999999999,145.83
0.0,6.9,12.729999999999999,43.84
0.0,55.0,-25.8,133.79
0.0,35.0,-5.07,106.98
7.99,35.02,-5.010000000000002,54.82
-0.04,25.0,10.270000000000003,75.77
0.0,30.0,6.299999999999997,74.3
5.36,26.3,5.050000000000001,48.63
2.06,22.87,32.129999999999995,49.84
-5.82,22.81,2.1900000000000013,63.51
0.22,35.02,11.259999999999998,60.49
3.82,34.48,-14.499999999999996,63.43
0.0,0.0,9.83,19.6
0.0,40.0,-1.5600000000000023,101.07
0.0,0.0,34.36,28.5
-2.12,30.37,-1.1700000000000017,110.33
0.98,39.89,-13.3,74.5
0.0,0.2,14.84,25.22
3.05,30.96,6.25,63.32
0.31,27.61,-15.209999999999999,64.32
1.29,17.54,17.480000000000004,31.89
3.45,33.18,1.8900000000000006,75.98
1.93,65.06,-27.010000000000005,140.76
0.0,35.0,-4.969999999999999,36.43
0.0,17.1,24.25,40.58
0.0,0.0,49.99,40.51
-6.38,48.76,-11.239999999999995,77.95
-5.71,38.48,5.650000000000006,75.86
-0.19,29.98,-0.9200000000000017,88.43
0.0,14.16,16.21,59.47
2.05,30.1,19.53,59.52
-1.68,40.08,1.3599999999999994,129.13
-5.77,30.83,14.170000000000002,53.1
-1.04,41.69,-26.689999999999998,40.82
0.1,17.99,1.9700000000000024,65.99
-2.56,33.2,5.009999999999998,53.16
-0.09,16.12,20.94,36.58
-1.24,3.01,19.35,55.44
-3.96,31.68,-11.7,64.0
-4.0,26.65,3.330000000000002,74.15
4.33,34.62,-12.679999999999996,56.65
0.0,15.0,35.09,52.32
0.0,24.99,20.01,46.14
0.0,15.0,11.36,49.35
0.0,20.0,-7.140000000000001,57.0
-0.03,30.0,5.270000000000003,58.93
0.31,40.48,-9.349999999999998,55.36
3.09,13.91,22.88,46.62
0.0,0.0,9.92,25.82
0.0,22.85,-7.880000000000001,48.26
4.38,39.41,-24.409999999999997,116.89
-0.04,35.0,-35.0,57.02
2.02,30.54,9.0,107.46
0.0,25.0,-4.68,40.0
0.0,23.24,-20.229999999999997,55.66
