Y,X1,X2,X3
11.2,37.52,-8.04,1656.734828
0,0,34.5,295.432941
0.24,30.03,-10.07,1855.192569
-11.2,34.48,-3.17,990.8629862
4.59,23.4,14.01,697.1807814
0,31.25,-0.06,7.478818422
0,23.5,7.24,605.2787028
0,30,7.21,743.9755128
0.09,10.03,24.68,460.2829359
6.36,24.9,-2.28,83.21369105
0,34.25,12.2,1468.456867
-8.93,15.46,14.47,1553.647614
0,50,0.33,432.3329733
7.5,36.79,-22.88,979.7710484
11.2,39.9,10.09,614.2212379
-5.95,21.83,13.17,128.7678988
0,0,14.25,437.2324849
-6.22,43.32,-28.32,594.0428886
0,20.32,1.53,224.4506209
0,45,-20.01,1457.157652
4.16,18.73,5.59,1267.079859
7.1,40.76,-10.77,253.1804957
0,0,10,263.0813592
0,24.07,-4.07,143.1094262
-7.34,9.05,24.58,680.5168441
-2.11,22.43,1.99,1337.777994
0,32,-0.75,15.46482363
11.2,8.61,3.24,189.8294842
0,50,-19.9,672.9204468
-0.74,45.04,-10.05,1234.142357
-7.34,29.2,1.17,614.8458833
-0.09,9.97,24.74,498.2630408
1.28,28.12,11.88,464.7540032
0.52,24.99,5.01,927.0153811
0.25,30.02,9.52,483.0367604
-0.28,24.98,6.15,285.9887407
0,45,-26.22,734.9155132
1.04,29.53,3.08,337.5130261
-6.56,46.25,-31.25,851.6057558
2.65,18.77,-3.75,287.0670664
0,30,-0.47,56.61368101
3.81,37.8,-9.68,435.1647163
-2.02,9.9,20.1,373.6955895
0,40,-9.99,347.6905305
-3.56,33.31,-27.31,329.2716993
-0.6,49.94,-18.69,1116.452074
0.54,49.63,-19.53,483.5353265
0,25,9.9,289.6470659
-0.96,12.4,15.21,567.2228889
-8.26,31.67,-17.76,1114.017645
-3.92,19.76,-17.87,1039.014122
11.2,21.85,-9.13,81.37936457
2.05,15.1,9.22,1277.230602
4.48,35.39,-11.92,163.8422747
7.15,36.96,-26.81,1516.925201
0.38,40,-38.83,749.0904571
-2.65,35.29,-26.29,655.2150431
0,15,23.05,1027.394064
0,0,25.01,281.8084837
-0.24,25.01,9.97,557.4381606
0,50,-37.14,575.3401602
-1.71,29.93,5.07,65.00024525
0.08,35.03,-4.66,50.04572486
0,0,38.24,938.5588159
-0.02,5,30.6,989.5278886
-5.01,41.81,6.82,198.4469897
-10.7,23.64,19.28,676.2707732
0,23.24,2.28,1548.652012
7.02,28,-15.28,448.6801074
2.09,30.1,-10.12,203.7283316
5.89,29.48,0.16,45.28387948
0,40,-5,774.9377979
-5.7,27.64,-18.64,1363.574082
-0.07,49.97,9.33,318.7381668
5.69,34.36,-34.36,724.9171626
-0.33,31.23,-1.22,3.633635094
7.89,21.21,10.1,284.3915505
0.13,29.99,-29.99,346.8532861
0,19.99,2.37,243.7796181
4.13,38.24,-10.41,1509.719029
0,9.83,-9.83,273.8709757
0,0,5,48.52915912
0,25,34.99,1768.378753
0,45,-19.48,793.0047469
-3.38,37.9,-24.26,1204.20685
0,1,23.32,1421.598129
-1.02,25.92,5.39,264.2434373
-1.14,35.07,-1.89,114.7791555
2.69,8.3,2.01,17.1061299
1.94,48.05,-7.58,14.85403437
6.28,34.47,-24.46,939.1893196
-0.14,17.24,17.78,171.7677976
-11.04,31.35,-5.05,1315.789989
0,0,19.99,760.5623354
0.02,10,-0.53,19.26640122
0,4.94,4.69,28.28116157
-3.51,39.05,-18.28,1087.93786
0,25,-25,198.9590441
0,0,59.96,1836.322743
0,24.99,3.2,551.890804
-0.02,40,-28.15,720.9375851
0,10,9.63,244.593549
-2.08,59.96,-34.97,1706.664376
3.51,31.13,9.35,875.1896445
4.48,14.88,-3.03,582.4281949
-1.65,40.23,-26.32,1013.57425
0,35,0.03,420.754759
0,55,-32.13,1612.328148
7.99,35.02,8.95,367.8596298
0,30,0,29.5671871
5.36,26.3,-11.79,1986.451913
-0.12,20.02,1.83,113.5777807
0.84,32.44,-22.81,528.1109145
0,35,0.12,1899.207207
-1.24,37.57,-1.67,380.5532338
2.06,22.87,22.53,1058.429406
0,0,35.07,817.9393096
-2.12,30.37,-7.5,1415.846353
0.98,39.89,-19.89,999.443224
0,0.2,31.72,494.8636272
3.05,30.96,-23.46,857.6267248
0,27.69,7.7,149.5076115
3.45,33.18,-8.18,785.679123
0,30,0.37,125.0186983
1.93,65.06,-14.97,256.6448819
0,35,-29,505.9189866
0,17.1,-2.1,24.87403339
-5.71,38.48,26.15,1833.441211
9.25,40.61,4.36,1174.026448
2.05,30.1,5.03,862.5890786
6.76,67.33,-2.55,32.38406151
-5.77,30.83,4.27,1069.243238
5.16,19.18,27.07,765.6560284
-1.04,41.69,-26.23,1520.686796
9.72,27.17,3.2,953.9551634
-6.31,20.55,-10.55,1921.4316
-1.24,3.01,21.99,889.2312322
-3.96,31.68,30.17,1843.787518
-4,26.65,14.26,687.2543847
7.39,42.4,-29.05,1629.343324
4.33,34.62,-9.71,1528.918241
0,45,10,461.9183872
-0.43,38.05,27.01,1091.538288
0,20,-2.16,71.84478722
-0.03,30,-5.02,410.1523276
0.43,21.23,13.77,227.3563493
0,0,0,22.02721465
4.38,39.41,-8.1,338.6876201
-1.61,29.93,-20.74,1759.860034
3.74,28.31,-5.88,817.0637901
-0.04,35,-12.64,722.0590609
0,25,-12.28,1164.823889
0,30,4.25,688.9851981
0,45,0.04,321.2192192
0,30,15,497.6517046
4.45,31.19,2.12,745.2066804
0,20,-14,941.7660829
0,8.75,11.38,592.3698088
-3.89,4.58,35.42,866.7284098
0,35,30.06,1017.021632
-3.06,31.49,6.75,1299.579822
0,7.67,15.73,410.1491192
11.2,43.97,0.16,89.15184496
0,44.97,-15.04,559.3531255
1.96,37.06,-20.94,813.7433014
0.09,14.97,7.88,158.6452871
4.22,20.38,17.52,1600.378295
0.02,35,-15.02,677.153404
4.92,54.12,-24.12,1586.848128
0,40,-5.29,1188.57879
-8.21,20.76,0.53,1275.098542
11.2,12.72,15.61,106.3445173
6.49,29.06,0.92,667.0475174
-3.72,35.17,-5.17,569.0074738
4.3,15.54,3.19,1.150702394
0.41,45.14,-32.42,889.1470103
0,20,-7.52,54.25067052
-0.09,17.84,2.16,82.68563673
6.75,34.5,-32.7,351.9593604
1.28,39.46,15.84,1547.603075
0,2.5,21.99,193.0801466
-6.27,34.47,-21.99,349.9107603
2.31,28.8,-2.4,144.1432116
0,13,5.17,1568.060292
0,0,1.17,24.57449711
-10.68,8.63,-7.05,148.673355
0.68,38.64,-3.68,799.7669971
0,39.99,-4.99,1263.284219
0.2,34.55,-8.25,1558.732629
0.26,29.97,12.64,487.9414725
-10.41,25.3,-3.45,264.2717099
0,34.96,11.69,1166.316429
4.23,30.37,-0.84,892.0097362
0,9.89,33.43,339.7306595
-10.69,13.63,34.49,919.0890679
0,18.33,-6.48,994.8708498
-7.13,40.91,-10.37,96.06682728
-1.61,20.07,6.4,679.8416126
