Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,leader_Vehicle_ID,leader_Frame_ID,leader_Total_Frames,leader_Global_Time,leader_Local_X,leader_Local_Y,leader_Global_X,leader_Global_Y,leader_v_length,leader_v_Width,leader_v_Class,leader_v_Vel,leader_v_Acc,leader_Lane_ID,leader_O_Zone,leader_D_Zone,leader_Int_ID,leader_Section_ID,leader_Direction,leader_Movement,leader_Preceding,leader_Following,leader_Space_Headway,leader_Time_Headway,leader_Location,Speed_difference,ln Y ,,ln ( X ) 
2780,8340,828,1.11885E+12,17.385,858.349,6451735.818,1872777.898,10,5,2,0,0,2,,,,,,,2768,2792,24,9999.99,us-101,2768,8414,827,1.11885E+12,16.975,897.784,6451765.726,1872752.135,13,4.9,2,9.47,6.27,2,,,,,,,2761,2780,50.9,5.37,us-101,-9.47,0,,1.380211242
1794,8975,750,1.11885E+12,18.085,1782.469,6452405.075,1872191.749,14.5,5.9,2,34.48,-11.2,2,,,,,,,1789,1798,88.43,2.56,us-101,1789,8584,816,1.11885E+12,19.267,464.106,6451413.812,1873061.96,13.5,5.9,2,15,0,2,,,,,,,1779,1794,38.53,2.57,us-101,19.48,1.549983611,,1.946599625
1323,5310,538,1.11885E+12,16.418,219.405,6451235.33,1873238.813,12.5,6,2,31.25,0,2,,,,,,,1312,1331,41.03,1.31,us-101,1312,5302,535,1.11885E+12,15.515,234.843,6451246.657,1873228.284,14.5,5.9,2,32,0,2,,,,,,,1306,1323,41.2,1.29,us-101,-0.75,1.508529719,,1.613101517
141,677,469,1.11885E+12,19.364,1599.056,6452292.515,1872289.035,16,7.4,2,55,-0.32,2,,,,,,,136,146,87.31,1.59,us-101,136,567,449,1.11885E+12,20.412,1137.178,6451944.068,1872592.273,14,6.9,2,45,0,2,,,,,,,127,141,87.04,1.93,us-101,10,1.748188027,,1.941063988
73,1060,519,1.11885E+12,18.751,1853.192,6452453.921,1872148.756,16,5.9,2,63.32,-11.2,2,,,,,,,67,78,147.86,2.34,us-101,67,748,524,1.11885E+12,23.046,550.691,6451471.315,1873004.18,13,6.4,2,30.98,-5.8,2,,,,,,,61,76,49.87,1.61,us-101,32.34,1.808346036,,2.169850702
1354,7142,1016,1.11885E+12,17.067,1419.135,6452132.41,1872432.137,14.5,6.9,2,30,0,2,,,,,,,1350,1360,60.94,2.03,us-101,1350,7000,1020,1.11885E+12,19.375,1253.54,6452006.096,1872539.398,15,6.9,2,0,0,2,,,,,,,1341,1354,45.2,9999.99,us-101,30,1.491361694,,1.78490245
2561,9253,614,1.11885E+12,18.05,496.133,6451434.138,1873044.883,15,5.4,2,15,0,2,,,,,,,2556,2574,47.19,3.15,us-101,2556,9239,625,1.11885E+12,19.342,520.973,6451451.529,1873027.099,15.5,6.4,2,17.1,0,2,,,,,,,2549,2561,40.58,2.37,us-101,-2.1,1.204119983,,1.673849977
2138,6080,553,1.11885E+12,14.999,165.316,6451226.729,1873249.898,14.5,6.4,2,29.64,-9.92,2,,,,,,,2132,2148,33.64,1.13,us-101,2132,6054,546,1.11885E+12,16.565,120.133,6451194.758,1873281.968,13.5,5.9,2,29.48,5.89,2,,,,,,,2127,2138,122.58,4.16,us-101,0.16,1.486288761,,1.526855987
2581,8165,933,1.11885E+12,18.102,1918.659,6452534.459,1872079.931,12.5,5,2,22,-6.48,2,,,,,,,2578,2582,42.51,1.93,us-101,2578,7915,927,1.11885E+12,20.141,1639.073,6452322.257,1872262.225,17,4.9,2,4.62,-4.21,2,,,,,,,2571,2581,32.31,6.99,us-101,17.38,1.361727836,,1.628491105
431,2055,955,1.11885E+12,18.686,468.964,6451413.728,1873062.827,12.5,6,2,34.25,0,2,,,,,,,426,435,61.03,1.78,us-101,426,2326,938,1.11885E+12,17.38,1157.458,6451930.983,1872607.692,13.5,5.9,2,30,0,2,,,,,,,420,431,74.05,2.47,us-101,4.25,1.547159121,,1.78554337
2031,7391,981,1.11885E+12,16.932,344.006,6451323.517,1873149.888,15.5,6.4,2,15.46,-8.93,2,,,,,,,2025,2042,57.18,3.7,us-101,2025,7798,987,1.11885E+12,17.839,885.09,6451725.387,1872786.469,17,8.5,2,15,0,2,,,,,,,2020,2031,34.5,2.3,us-101,0.46,1.216429831,,1.757244151
2169,6359,571,1.11885E+12,19.326,623.696,6451558.209,1872931.46,14,5.9,2,34.9,-1.54,2,,,,,,,2160,2174,153.8,4.41,us-101,2160,6218,570,1.11885E+12,19.651,334.781,6451343.946,1873126.362,12.5,6,2,25,0,2,,,,,,,2146,2169,34.13,1.37,us-101,9.9,1.555094449,,2.186956335
2365,7252,340,1.11885E+12,20.556,2025.821,6452615.512,1872009.207,13.5,6.4,2,50,0,2,,,,,,,2362,2363,57.28,1.15,us-101,2362,7242,340,1.11885E+12,20.373,2038.157,6452625.203,1872001.543,13.5,5.4,2,47.36,-11.2,2,,,,,,,2356,2365,68.47,1.45,us-101,2.64,1.707570176,,1.758003009
603,3424,798,1.11885E+12,18.386,1669.822,6452320.36,1872266.192,16,6.4,2,10.01,0.33,2,,,,,,,599,608,32.33,3.23,us-101,599,3131,803,1.11885E+12,20.544,730.755,6451611.813,1872882.664,17.5,7.4,2,34.47,6.28,2,,,,,,,596,603,62.28,1.81,us-101,-24.46,1.041787319,,1.509605705
2861,8759,830,1.11885E+12,17.734,1062.409,6451889.425,1872643.426,14,5.9,2,39.9,11.2,2,,,,,,,2855,2870,83.6,2.1,us-101,2855,8862,829,1.11885E+12,20.103,1607.088,6452298.092,1872283.223,16,5.9,2,50.81,5.26,2,,,,,,,2850,2861,54.76,1.08,us-101,-10.91,1.611723308,,1.922206277
2605,9326,640,1.11885E+12,18.758,331.522,6451313.269,1873157.253,15.5,5.4,2,13.35,-1.81,2,,,,,,,2597,2613,59.06,4.42,us-101,2597,8012,960,1.11885E+12,17.457,1543.461,6452251.683,1872326.992,13.5,5.9,2,5,-0.02,2,,,,,,,2593,2608,39.41,7.88,us-101,8.35,1.156851901,,1.771293443
2282,8720,640,1.11885E+12,16.299,1618.092,6452278.484,1872305.253,14.5,5.4,2,21.83,-5.95,2,,,,,,,2280,2285,53.73,2.46,us-101,2280,6904,518,1.11885E+12,18.366,1274.839,6452048.96,1872503.181,12.5,6.5,2,41.03,5.09,2,,,,,,,2270,2290,104.55,2.55,us-101,-19.2,1.358505911,,1.730216841
1341,6934,1040,1.11885E+12,18.656,1294.496,6452037.402,1872512.923,13,6.4,2,6,0,2,,,,,,,1336,1346,21.24,3.54,us-101,1336,7194,1052,1.11885E+12,17.468,1800.256,6452418.92,1872180.661,13,7.4,2,35,0,2,,,,,,,1334,1341,36.43,1.04,us-101,-29,0.84509804,,1.327154512
1064,5608,869,1.11885E+12,17.755,1554.765,6452233.841,1872342.288,14.5,6.4,2,0,0,2,,,,,,,1059,1070,35.33,9999.99,us-101,1059,5405,870,1.11885E+12,18.349,1353.631,6452082.152,1872474.168,16,6.9,2,15,0,2,,,,,,,1056,1064,58.5,3.9,us-101,-15,0,,1.548143637
1056,5721,864,1.11885E+12,19.949,1947.41,6452528.697,1872082.397,14.5,5.9,2,43.32,-6.22,2,,,,,,,1052,1059,56.03,1.29,us-101,1052,5504,847,1.11885E+12,18.923,1607.906,6452273.224,1872306.34,15,5.9,2,9.89,0,2,,,,,,,1046,1056,44.94,4.54,us-101,33.43,1.646599752,,1.748420622
260,1707,495,1.11885E+12,19.552,1536.238,6452214.634,1872356.786,17,7.9,2,45,0,2,,,,,,,255,263,65.06,1.45,us-101,255,1406,502,1.11885E+12,13.538,235.172,6451248.312,1873229.413,14.5,6.4,2,32.88,0,2,,,,,,,250,260,44.76,1.36,us-101,12.12,1.662757832,,1.813314059
1232,5987,1179,1.11885E+12,20.431,636.112,6451540.823,1872945.526,17,6.4,2,18.73,4.16,2,,,,,,,1228,1236,53.25,2.84,us-101,1228,5954,1183,1.11885E+12,19.281,636.107,6451541.603,1872946.372,14,6.9,2,15.54,4.3,2,,,,,,,1222,1232,103.17,6.64,us-101,3.19,1.295127085,,1.726319612
969,5140,832,1.11885E+12,20.166,1914.14,6452503.066,1872104.058,15.5,6.9,2,20.54,-0.28,2,,,,,,,960,973,50.92,2.48,us-101,960,4547,813,1.11885E+12,16.6,209.696,6451232.289,1873241.728,15,6.4,2,20.96,4.14,2,,,,,,,952,969,56.98,2.72,us-101,-0.42,1.333245699,,1.706888395
2916,8613,809,1.11885E+12,19.481,379.849,6451377.248,1873095.366,12.5,6,2,0,0,2,,,,,,,2911,2925,22.15,9999.99,us-101,2911,8591,810,1.11885E+12,19.347,402,6451393.536,1873080.537,17,6.4,2,0,0,2,,,,,,,2903,2916,25.82,9999.99,us-101,0,0,,1.345373731
